01/00-infamy.md#infamy	infâmia
01/00-infamy.md#a-proposal--santa-monica-coastal-resort--june-10-bf-0	uma-proposta--resort-costeiro-de-santa-mônica--10-de-junho-aq-0
01/00-infamy.md#a-desperate-plea--mojave-tent-slums--june-11-bf-0	um-apelo-desesperado--barracas-do-mojave--11-de-junho-aq-0
01/00-infamy.md#just-in-case--skid-row--june-13-bf-0	só-por-garantia--na-quebrada--13-de-junho-aq-0
01/00-infamy.md#lack--the-zentropic-return--march-13-af-9	lapso--o-retorno-zentrópico--13-de-março-dq-9
01/00-infamy.md#reunion--echo-blue-sector--march-13-af-9	reunião--setor-echo-blue--13-de-março-dq-9
01/00-infamy.md#aimless--get-your-ass-to-mars-swarm--march-1320-af-9	sem-rumo--enxame-vá-a-marte--13-20-de-março-dq-9
01/00-infamy.md#narcos--danger-noodle--march-20-af-9	narcos--danger-noodle--20-de-março-dq-9
01/00-infamy.md#opportunity--bateaux--march-22-af-9	oportunidade--bateaux--22-de-março-dq-9
01/00-infamy.md#reflection--tall-red-sector--march-22-af-9	reflexo--setor-tall-red--22-de-março-dq-9
01/00-infamy.md#new-client--bateaux--august-2-af-9	novo-cliente--bateaux--2-de-agosto-dq-9
01/00-infamy.md#prank--danger-noodle--august-11-af-9	pegadinha--danger-noodle--11-de-agosto-dq-9
01/00-infamy.md#negotiation--echo-blue-sector--august-11-af-9	negociação--setor-echo-blue--11-de-agosto-dq-9
01/00-infamy.md#revelations--no-turning-back-cargo-freighter--august-14-af-9	revelações--cargueiro-no-turning-back-14-de-agosto-dq-9
02/00-starting-out.md#starting-out	começando
02/01-what-is-ep.md#what-is-eclipse-phase	o-que-é-eclipse-phase
02/01-what-is-ep.md#new-to-roleplaying	novato-em-rpg
02/01-what-is-ep.md#starting-players	jogadores-iniciantes
02/01-what-is-ep.md#starting-gamemasters	mestres-de-jogo-iniciantes
02/01-what-is-ep.md#a-note-on-politics	uma-nota-sobre-política
02/01-what-is-ep.md#a-note-on-terminology-sex-and-gender	uma-nota-sobre-terminologia-sexo-e-gênero
02/02-core-concepts.md#core-concepts	conceitos-principais
02/02-core-concepts.md#transhumanism	transumanismo
02/02-core-concepts.md#ais-and-uplifts	ias-e-elevados
02/02-core-concepts.md#defeating-death	derrotando-a-morte
02/02-core-concepts.md#resleeving	reencape
02/02-core-concepts.md#ego-manipulation	manipulação-do-ego
02/02-core-concepts.md#the-mesh	a-mesh
02/02-core-concepts.md#table-talk	conversas-na-mesa
02/02-core-concepts.md#nanotech	nanotecnologia
02/02-core-concepts.md#x-risks	riscos-x
02/02-core-concepts.md#alien-exploration	exploração-alienígena
02/02-core-concepts.md#factions	facções
02/03-themes.md#themes	temas
02/03-themes.md#post-apocalyptic	pós-apocalipse
02/03-themes.md#survival	sobrevivência
02/03-themes.md#horror	horror
02/03-themes.md#infection	infecção
02/03-themes.md#conspiracy	conspiração
02/03-themes.md#science	ciência
02/03-themes.md#politics	política
02/03-themes.md#change	mudança
02/04-core-campaigns.md#core-campaigns	campanhas-principais
02/04-core-campaigns.md#firewall-campaign	campanha-da-firewall
02/04-core-campaigns.md#firewall-sunward-ops	firewall-operações-na-solárea
02/04-core-campaigns.md#firewall-rimward-ops	firewall-operações-na-limiárea
02/04-core-campaigns.md#gatecrashing-campaign	campanha-de-desbravamento
02/04-core-campaigns.md#gatecrashing-ops	operações-de-desbravamento
02/04-core-campaigns.md#criminal-campaign	campanha-criminal
02/04-core-campaigns.md#criminal-guanxi-ops	operações-criminais-guanxi
02/04-core-campaigns.md#alternative-campaigns	campanhas-alternativas
02/05-character-archetypes.md#character-archetypes	arquétipos-de-personagem
02/05-character-archetypes.md#combat	combate
02/05-character-archetypes.md#social	social
02/05-character-archetypes.md#technical	técnico
02/05-character-archetypes.md#knowledge	conhecimento
02/06-setting-overview.md#setting-overview	panorama-do-cenário
02/06-setting-overview.md#inner-system	sistema-interior
02/06-setting-overview.md#main-belt	cinturão-principal
02/06-setting-overview.md#jovian-space	espaço-joviano
02/06-setting-overview.md#outer-system	sistema-exterior
02/06-setting-overview.md#the-fringe	a-periferia
02/06-setting-overview.md#exoplanets	exoplanetas
02/06-setting-overview.md#habitat-primer	básico-dos-habitats
02/06-setting-overview.md#the-mesh	a-mesh
03/00-game-mechanics.md#game-mechanics	mecânicas-do-jogo
03/01-how-to-play.md#how-to-play	como-jogar
03/01-how-to-play.md#dice-basics	o-básico-dos-dados
03/01-how-to-play.md#when-to-roll-the-dice	quando-rolar-os-dados
03/01-how-to-play.md#making-tests	fazendo-testes
03/01-how-to-play.md#who-rolls	quem-rola
03/01-how-to-play.md#difficulty-and-modifiers	dificuldade-e-modificadores
03/01-how-to-play.md#modifiers	modificadores
03/01-how-to-play.md#superior-results-3366-rule	resultados-maiores-regra-3366
03/01-how-to-play.md#criticals	críticos
03/01-how-to-play.md#defaulting	recorrendo
03/01-how-to-play.md#teamwork	trabalho-em-equipe
03/02-types-of-tests.md#types-of-tests	tipos-de-teste
03/02-types-of-tests.md#success-tests	testes-de-sucesso
03/02-types-of-tests.md#trying-again	tentando-novamente
03/02-types-of-tests.md#opposed-tests	testes-opostos
03/03-actions-and-time.md#actions--time	ações--tempo
03/03-actions-and-time.md#action-turns	turnos-de-ação
03/03-actions-and-time.md#automatic-actions	ações-automáticas
03/03-actions-and-time.md#quick-actions	ações-rápidas
03/03-actions-and-time.md#complex-actions	ações-complexas
03/03-actions-and-time.md#task-actions	ações-de-tarefa
03/03-actions-and-time.md#taking-time	aumentando-o-tempo
03/03-actions-and-time.md#rushing-the-job	apressando-o-trabalho
03/04-initiative-order-of-actions.md#initiative--order-of-actions	iniciativa--ordem-das-ações
03/04-initiative-order-of-actions.md#initiative-order	ordem-de-iniciativa
03/04-initiative-order-of-actions.md#taking-the-initiative	tomando-a-iniciativa
03/04-initiative-order-of-actions.md#delaying-actions	adiando-ações
03/04-initiative-order-of-actions.md#extra-actions	ações-extras
03/05-pools.md#pools	paradas
03/05-pools.md#using-pools	usando-paradas
03/05-pools.md#insight	inspiração
03/05-pools.md#moxie	manha
03/05-pools.md#vigor	vigor
03/05-pools.md#flex	flex
03/05-pools.md#recharging-pools	recarregando-paradas
03/05-pools.md#temporary-pools	paradas-temporárias
03/05-pools.md#dont-hoard	não-acumule
04/00-making-characters.md#making-characters	criando-personagens
04/01-character-stats.md#character-stats	atributos-do-personagem
04/01-character-stats.md#ego-vs-morph	ego-vs-morfo
04/01-character-stats.md#ego-stats	atributos-do-ego
04/01-character-stats.md#morph-stats	atributos-do-morfo
04/01-character-stats.md#aptitudes	aptidões
04/01-character-stats.md#aptitude-checks	provas-de-aptidão
04/01-character-stats.md#skills	perícias
04/01-character-stats.md#morph	morfo
04/01-character-stats.md#derived-stats	atributos-derivados
04/01-character-stats.md#derived-stat-formulas	fórmulas-de-atributos-derivados
04/01-character-stats.md#traits	traços
04/01-character-stats.md#rep	rep
